Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,455,7,0.015385,0.029787,0.020290,0.891852
PQ03_Farranc_tutti.mid,296,379,13,0.034301,0.043919,0.038519,0.847799
PS01_Beethoven_tutti.mid,138,490,6,0.012245,0.043478,0.019108,0.842837
PS02_Chopin_tutti.mid,117,236,7,0.029661,0.059829,0.039660,0.826112
PS03_Mozart_tutti.mid,193,287,15,0.052265,0.077720,0.062500,0.824963
SQ01_Beethoven_tutti.mid,96,522,1,0.001916,0.010417,0.003236,0.809160
SQ02_Janacek_tutti.mid,154,193,18,0.093264,0.116883,0.103746,0.832479
SQ03_Schubert_tutti.mid,318,286,14,0.048951,0.044025,0.046358,0.847701
VS01_Schumann_tutti.mid,401,309,7,0.022654,0.017456,0.019718,0.795902
VS04_Franck_tutti.mid,311,448,24,0.053571,0.077170,0.063241,0.852510

,,,Ave.,0.036421,0.052069,0.041638,0.837131